# generated_by='OpenQuake engine 3.6.0', start_date='2019-09-26T01:23:50', checksum=1403906382, kind='quantile-0.85', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
111.08751,-14.22879,3.701990E-02,7.972349E-02
111.09260,-14.76839,2.959321E-02,6.231934E-02
111.09791,-15.30798,2.493658E-02,5.156550E-02
111.09821,-25.83004,3.290724E-02,9.934099E-02
111.10302,-26.09984,3.279181E-02,9.913633E-02
111.10794,-45.25539,0.000000E+00,0.000000E+00
111.11342,-33.92394,3.922332E-02,1.131950E-01
111.11971,-17.33145,2.226800E-02,4.935756E-02
111.12556,-27.31392,2.706127E-02,9.037895E-02
111.13077,-27.58372,2.297492E-02,6.630334E-02
111.13741,-34.86822,3.446526E-02,1.077204E-01
111.14292,-19.22003,1.748209E-02,5.179779E-02
111.14916,-46.33457,0.000000E+00,0.000000E+00
111.15559,-20.16432,1.738551E-02,6.582765E-02
111.16317,-20.70391,1.708830E-02,5.980091E-02
111.16993,-36.08231,1.095973E-02,4.294764E-02
111.17370,-6.80939,1.251662E-01,2.391486E-01
111.17742,-36.35210,9.816009E-03,4.130678E-02
111.18113,-21.91799,1.583239E-02,5.080060E-02
111.18502,-36.62190,8.670294E-03,4.035571E-02
111.18886,-36.75680,8.051751E-03,3.915421E-02
111.19291,-10.18185,1.090000E+00,1.090000E+00
