STA,KAPPA,CNT
WBP19,-0.022517,3
WBP20,-0.007204,10
WBP21,-0.015896,10
WBP22,-0.062052,9
WBP24,-0.024792,8
WBP25,-0.059756,9
WBP26,-0.023550,6
WBQ07,0.042317,6
WBQ08,0.050462,4
WBQ09,-0.001556,6
WBQ10,-0.034933,7
WBQ13,-0.002792,6
WBQ15,0.034812,7
WBQ16,-0.044591,6
WBQ17,0.028449,4
WBQ18,-0.031310,5
WBQ19,0.013479,10
WBQ20,-0.053269,10
WBQ21,-0.008955,10
WBQ24,-0.047113,9
WBR07,0.024068,5
WBR09,0.039720,7
WBR11,-0.001624,6
WBR12,0.044622,8
WBR13,-0.029718,7
WBR14,0.047872,7
WBR15,-0.068278,3
WBR17,-0.005969,6
WBR18,0.026909,7
